Rank | Key Guess (hex) | Score(RSS_over_POI)
 80 | 0x36           | 8.54181919e-02
 81 | 0xd2           | 8.53866778e-02
 82 | 0xd7           | 8.50948730e-02
 83 | 0xcc           | 8.50673341e-02
 84 | 0x77           | 8.47548547e-02
 85 | 0xf5           | 8.44893820e-02
 86 | 0x74           | 8.31151823e-02
 87 | 0x0d           | 8.19988727e-02
 88 | 0xac           | 8.18504914e-02
 89 | 0xaa           | 8.05195505e-02
 90 | 0xe3           | 8.00218407e-02
 91 | 0x04           | 7.93907762e-02
 92 | 0x86           | 7.92935510e-02
 93 | 0xf8           | 7.91849398e-02
 94 | 0xf4           | 7.77695682e-02
 95 | 0xff           | 7.75442736e-02
 96 | 0xc5           | 7.71930382e-02
 97 | 0x1f           | 7.68837619e-02
 98 | 0xbe           | 7.62622088e-02
 99 | 0x6d           | 7.59710327e-02
100 | 0xe5           | 7.59125187e-02
101 | 0x82           | 7.59099192e-02
102 | 0x21           | 7.52090769e-02
103 | 0x24           | 7.44843723e-02
104 | 0x28           | 7.34907697e-02
105 | 0x4b           | 7.33888996e-02
106 | 0x33           | 7.32656799e-02
107 | 0xef           | 7.32035156e-02
108 | 0x3e           | 7.30989230e-02
109 | 0x3a           | 7.26913182e-02
110 | 0xe0           | 7.22666566e-02
111 | 0x84           | 7.17597802e-02
112 | 0x14           | 7.13502554e-02
113 | 0x51           | 7.12154637e-02
114 | 0xc3           | 7.08614378e-02
115 | 0x46           | 7.05655063e-02
116 | 0x9f           | 6.98832745e-02
117 | 0x8e           | 6.96762689e-02
118 | 0x1e           | 6.90045387e-02
119 | 0x89           | 6.86116685e-02
120 | 0x35           | 6.83908567e-02
121 | 0x07           | 6.81351948e-02
122 | 0x29           | 6.81208128e-02
123 | 0x70           | 6.79414131e-02
124 | 0x52           | 6.78005916e-02
125 | 0x69           | 6.77647868e-02
126 | 0xa0           | 6.76172294e-02
127 | 0xe6           | 6.75219855e-02
128 | 0x64           | 6.67896456e-02
129 | 0x54           | 6.64834055e-02
130 | 0x23           | 6.62825839e-02
131 | 0xf1           | 6.62403533e-02
132 | 0x6a           | 6.62117446e-02
133 | 0xb2           | 6.57026954e-02
134 | 0x15           | 6.55343049e-02
135 | 0xd0           | 6.54168281e-02
136 | 0x8c           | 6.54087229e-02
137 | 0xf0           | 6.51811022e-02
138 | 0x68           | 6.50595685e-02
139 | 0xa9           | 6.50306878e-02
140 | 0x59           | 6.48833607e-02
141 | 0xd3           | 6.47074324e-02
142 | 0xdf           | 6.44214536e-02
143 | 0xb8           | 6.43365771e-02
144 | 0x87           | 6.42495347e-02
145 | 0xbb           | 6.41567090e-02
146 | 0x95           | 6.37407348e-02
147 | 0xda           | 6.34259196e-02
148 | 0x53           | 6.32102955e-02
149 | 0x39           | 6.30148903e-02
150 | 0x00           | 6.18172698e-02
151 | 0x2f           | 6.17265505e-02
152 | 0xae           | 6.14397983e-02
153 | 0x3c           | 6.13537065e-02
154 | 0x63           | 6.10392914e-02
155 | 0x6f           | 6.05836428e-02
156 | 0x09           | 6.03919890e-02
157 | 0xbd           | 6.02148982e-02
158 | 0xb0           | 6.00647408e-02
159 | 0xc0           | 5.99392887e-02
160 | 0x7c           | 5.96287681e-02
161 | 0xf3           | 5.91720424e-02
162 | 0x06           | 5.88479172e-02
163 | 0x27           | 5.87037677e-02
164 | 0x7a           | 5.85366286e-02
165 | 0xc8           | 5.76468496e-02
166 | 0xad           | 5.76457007e-02
167 | 0xfe           | 5.75736537e-02
168 | 0x78           | 5.71283597e-02
169 | 0x0e           | 5.71061087e-02
170 | 0xd6           | 5.70758546e-02
171 | 0xb1           | 5.68990838e-02
172 | 0x2b           | 5.68787053e-02
173 | 0x10           | 5.64899353e-02
174 | 0x12           | 5.62105402e-02
175 | 0x6c           | 5.60076230e-02
176 | 0x7e           | 5.58879574e-02
177 | 0xea           | 5.57201142e-02
178 | 0x2e           | 5.50939466e-02
179 | 0xa6           | 5.48562905e-02
180 | 0x26           | 5.37754446e-02
181 | 0xfb           | 5.37602528e-02
182 | 0x92           | 5.36410929e-02
183 | 0x5b           | 5.34790297e-02
184 | 0xb9           | 5.28957108e-02
185 | 0xa8           | 5.21895270e-02
186 | 0x37           | 5.19325695e-02
187 | 0x2c           | 5.18689898e-02
188 | 0xfa           | 5.10259243e-02
189 | 0x5e           | 5.08647390e-02
190 | 0xdb           | 5.06424552e-02
191 | 0xb4           | 5.04726059e-02
192 | 0x99           | 4.96839470e-02
193 | 0xa5           | 4.96133795e-02
194 | 0x44           | 4.92812563e-02
195 | 0x13           | 4.88371620e-02
196 | 0xa4           | 4.87932663e-02
197 | 0x60           | 4.86142155e-02
198 | 0x94           | 4.84431368e-02
199 | 0x4d           | 4.80803624e-02
200 | 0xb5           | 4.80011644e-02
201 | 0xd9           | 4.79730226e-02
202 | 0xbc           | 4.77209035e-02
203 | 0x45           | 4.73891530e-02
204 | 0xcd           | 4.72503434e-02
205 | 0x01           | 4.69216386e-02
206 | 0x38           | 4.68368272e-02
207 | 0x0c           | 4.66566249e-02
208 | 0x0a           | 4.66035369e-02
209 | 0xcf           | 4.63590184e-02
210 | 0x62           | 4.62203960e-02
211 | 0xec           | 4.61650943e-02
212 | 0x75           | 4.53878505e-02
213 | 0x50           | 4.53659944e-02
214 | 0xb3           | 4.50575667e-02
215 | 0xab           | 4.49123118e-02
216 | 0x85           | 4.45876446e-02
217 | 0x61           | 4.44482973e-02
218 | 0xc7           | 4.42064153e-02
219 | 0x6e           | 4.40877312e-02
220 | 0x56           | 4.39395633e-02
221 | 0xaf           | 4.35976217e-02
222 | 0xe4           | 4.33299435e-02
223 | 0x34           | 4.29490463e-02
224 | 0x1d           | 4.26031872e-02
225 | 0x42           | 4.19238137e-02
226 | 0x7d           | 4.13056923e-02
227 | 0xb7           | 4.08542396e-02
228 | 0x90           | 4.06149579e-02
229 | 0xe1           | 4.04920434e-02
230 | 0xd5           | 4.02520258e-02
231 | 0x8b           | 4.00369370e-02
232 | 0xf7           | 3.93598954e-02
233 | 0x9d           | 3.92769139e-02
234 | 0x58           | 3.91598949e-02
235 | 0xd4           | 3.89986606e-02
236 | 0x9c           | 3.87930523e-02
237 | 0x97           | 3.87352661e-02
238 | 0xc2           | 3.86773905e-02
239 | 0x3f           | 3.85460774e-02
240 | 0x11           | 3.80565141e-02
241 | 0x73           | 3.79234300e-02
242 | 0xe7           | 3.73821306e-02
243 | 0x4c           | 3.73737250e-02
244 | 0x41           | 3.64068269e-02
245 | 0xe2           | 3.62071859e-02
246 | 0x0b           | 3.61501281e-02
247 | 0xdc           | 3.54761278e-02
248 | 0x9a           | 3.50614233e-02
249 | 0x02           | 3.45306992e-02
250 | 0x18           | 3.42109960e-02
251 | 0xc1           | 3.41288378e-02
252 | 0x76           | 3.26446633e-02
253 | 0x1b           | 3.11975246e-02
254 | 0x8f           | 2.99267927e-02
255 | 0x48           | 2.64774258e-02
256 | 0x40           | 2.32370620e-02
