Rank | Key Guess (hex) | Score(RSS_over_POI)
---- | --------------- | -------------------
  1 | 0x9e           | 3.05999781e-01
  2 | 0x9b           | 2.07194804e-01
  3 | 0x4a           | 2.04300269e-01
  4 | 0x72           | 1.82322915e-01
  5 | 0xd8           | 1.81541462e-01
  6 | 0x03           | 1.79938156e-01
  7 | 0xee           | 1.78413035e-01
  8 | 0x43           | 1.71794361e-01
  9 | 0x91           | 1.62334738e-01
 10 | 0xed           | 1.60505133e-01
 11 | 0x5f           | 1.55289411e-01
 12 | 0x3b           | 1.55133167e-01
 13 | 0xd1           | 1.51165184e-01
 14 | 0x71           | 1.50381445e-01
 15 | 0x79           | 1.50038980e-01
 16 | 0xcb           | 1.45338285e-01
 17 | 0x83           | 1.43841575e-01
 18 | 0xfd           | 1.42890011e-01
 19 | 0x67           | 1.41716406e-01
 20 | 0x1a           | 1.39630562e-01
 21 | 0xf9           | 1.37976741e-01
 22 | 0xeb           | 1.36847478e-01
 23 | 0x7f           | 1.34553663e-01
 24 | 0x49           | 1.34140568e-01
 25 | 0xf2           | 1.34030349e-01
 26 | 0x32           | 1.33810636e-01
 27 | 0x25           | 1.33727786e-01
 28 | 0xf6           | 1.31397718e-01
 29 | 0xca           | 1.29954369e-01
 30 | 0x17           | 1.29348758e-01
 31 | 0x19           | 1.25382412e-01
 32 | 0x30           | 1.20838657e-01
 33 | 0x20           | 1.20613427e-01
 34 | 0x65           | 1.19886726e-01
 35 | 0x31           | 1.16473354e-01
 36 | 0x88           | 1.14001599e-01
 37 | 0x2d           | 1.13020121e-01
 38 | 0xa7           | 1.10204410e-01
 39 | 0x08           | 1.10160546e-01
 40 | 0x98           | 1.09157091e-01
 41 | 0xa2           | 1.08910161e-01
 42 | 0x55           | 1.08288338e-01
 43 | 0x7b           | 1.07512497e-01
 44 | 0xde           | 1.06286097e-01
 45 | 0x05           | 1.06272133e-01
 46 | 0x96           | 1.04981592e-01
 47 | 0x81           | 1.03961412e-01
 48 | 0xb6           | 1.03931965e-01
 49 | 0x6b           | 1.03126160e-01
 50 | 0x5a           | 1.01612254e-01
 51 | 0x3d           | 1.01604478e-01
 52 | 0x8d           | 1.01270495e-01
 53 | 0xa3           | 1.00634704e-01
 54 | 0xbf           | 9.92415471e-02
 55 | 0xce           | 9.88104677e-02
 56 | 0x2a           | 9.85280287e-02
 57 | 0x5c           | 9.78818065e-02
 58 | 0x47           | 9.68219262e-02
 59 | 0x5d           | 9.67362840e-02
 60 | 0xfc           | 9.64734557e-02
 61 | 0x4e           | 9.51702575e-02
 62 | 0x4f           | 9.35872653e-02
 63 | 0x80           | 9.34439735e-02
 64 | 0x8a           | 9.32744699e-02
 65 | 0x0f           | 9.28882236e-02
 66 | 0x16           | 9.26963612e-02
 67 | 0xa1           | 9.21867371e-02
 68 | 0x57           | 9.19151550e-02
 69 | 0xe8           | 9.12660473e-02
 70 | 0xc4           | 9.09749070e-02
 71 | 0xc6           | 8.96485171e-02
 72 | 0x22           | 8.95253377e-02
 73 | 0xba           | 8.93356430e-02
 74 | 0x93           | 8.82744689e-02
 75 | 0x66           | 8.76827787e-02
 76 | 0x1c           | 8.76003889e-02
 77 | 0xe9           | 8.66327638e-02
 78 | 0xdd           | 8.58898602e-02
 79 | 0xc9           | 8.57335105e-02
